,graph_coloring_min_colors,graph_coloring_with_MOE_cut_min_colors,graph_coloring_with_random_cut_min_colors,graph_coloring_with_goeman_williamson_min_colors,is_reducible_MOE,is_reducible_random_cut,is_reducible_goeman_williamson,graph_coloring_with_MOE_cut_min_colors_optimized,graph_coloring_with_random_cut_min_colors_optimized,graph_coloring_with_goeman_williamson_min_colors_optimized
0,12,11,12,13,True,True,False,11,12,12
1,13,11,13,14,True,True,False,11,13,13
2,13,11,14,13,True,False,False,11,12,12
3,13,11,13,12,True,False,True,11,11,12
4,12,11,12,12,True,False,False,11,11,11
5,13,11,13,14,True,True,False,11,13,13
6,15,11,12,11,True,True,True,11,12,11
7,15,11,13,14,True,False,False,11,12,12
8,14,11,11,13,True,True,True,11,11,13
9,15,11,14,14,True,False,False,11,13,12
10,14,12,13,14,False,True,False,11,13,12
11,14,11,13,12,True,False,True,11,11,12
12,15,11,13,14,True,True,False,11,13,13
13,13,11,15,13,True,False,True,11,13,13
14,14,11,13,12,True,True,True,11,13,12
15,14,12,15,14,True,False,False,12,14,13
16,13,11,13,13,True,True,False,11,13,12
17,14,12,14,11,False,False,True,11,13,11
18,14,12,15,13,False,False,False,11,11,11
19,14,11,13,13,True,False,True,11,11,13
