,graph_coloring_min_colors,graph_coloring_with_MOE_cut_min_colors,graph_coloring_with_random_cut_min_colors,graph_coloring_with_goeman_williamson_min_colors,is_reducible_MOE,is_reducible_random_cut,is_reducible_goeman_williamson,graph_coloring_with_MOE_cut_min_colors_optimized,graph_coloring_with_random_cut_min_colors_optimized,graph_coloring_with_goeman_williamson_min_colors_optimized
0,19,14,20,16,True,False,False,14,18,15
1,23,15,19,17,True,False,False,15,18,15
2,20,16,17,15,False,True,True,15,17,15
3,21,14,19,17,True,False,False,14,17,16
4,20,15,19,16,True,False,False,15,17,15
5,22,15,18,16,True,False,True,15,16,16
6,23,15,19,17,False,False,False,14,18,16
7,21,13,17,18,True,True,False,13,17,15
8,21,14,20,17,True,False,False,14,17,15
9,21,16,18,16,False,False,False,15,17,14
10,21,15,17,17,False,False,False,13,15,16
11,21,17,20,16,True,False,True,17,16,16
12,21,16,18,16,False,False,True,14,17,16
13,23,16,18,16,False,False,False,14,16,15
14,19,15,16,16,False,False,False,13,15,14
15,20,17,18,16,False,True,False,16,18,15
16,22,16,20,15,False,False,False,15,17,13
17,23,15,19,17,True,False,False,15,15,15
18,21,14,18,18,True,False,True,14,17,18
19,21,17,18,16,False,False,False,16,16,15
