,graph_coloring_min_colors,graph_coloring_with_MOE_cut_min_colors,graph_coloring_with_random_cut_min_colors,graph_coloring_with_goeman_williamson_min_colors,is_reducible_MOE,is_reducible_random_cut,is_reducible_goeman_williamson,graph_coloring_with_MOE_cut_min_colors_optimized,graph_coloring_with_random_cut_min_colors_optimized,graph_coloring_with_goeman_williamson_min_colors_optimized
0,15,12,15,12,True,False,False,12,14,11
1,14,11,13,13,True,True,True,11,13,13
2,15,12,12,13,True,True,True,12,12,13
3,15,12,14,12,True,True,True,12,14,12
4,16,11,14,13,True,False,True,11,13,13
5,13,11,14,14,True,True,False,11,14,13
6,14,13,12,13,False,True,True,12,12,13
7,13,12,13,13,True,True,True,12,13,13
8,15,13,14,13,False,False,True,12,13,13
9,16,12,13,12,True,False,True,12,12,12
10,14,12,12,11,True,True,True,12,12,11
11,15,12,13,13,True,False,True,12,12,13
12,14,11,12,13,True,True,True,11,12,13
13,15,12,16,12,True,False,True,12,14,12
14,14,12,16,13,True,False,False,12,15,12
15,14,11,14,11,True,True,True,11,14,11
16,14,13,13,13,True,False,True,13,12,13
17,14,11,15,12,True,True,True,11,15,12
18,15,12,16,12,False,False,True,11,13,12
19,14,12,14,12,True,False,True,12,12,12
