,graph_coloring_min_colors,graph_coloring_with_MOE_cut_min_colors,graph_coloring_with_random_cut_min_colors,graph_coloring_with_goeman_williamson_min_colors,is_reducible_MOE,is_reducible_random_cut,is_reducible_goeman_williamson,graph_coloring_with_MOE_cut_min_colors_optimized,graph_coloring_with_random_cut_min_colors_optimized,graph_coloring_with_goeman_williamson_min_colors_optimized
0,13,9,12,9,True,True,True,9,12,9
1,12,9,12,11,True,False,False,9,11,10
2,11,10,12,11,True,False,True,10,11,11
3,15,10,10,10,True,True,True,10,10,10
4,12,10,12,11,True,False,False,10,11,10
5,13,10,12,11,True,False,True,10,11,11
6,13,10,10,9,True,True,True,10,10,9
7,11,9,12,10,True,False,True,9,10,10
8,12,8,10,9,True,True,True,8,10,9
9,12,9,11,9,True,True,True,9,11,9
10,11,8,13,11,True,False,True,8,12,11
11,11,10,12,11,True,False,True,10,10,11
12,13,10,11,10,True,True,True,10,11,10
13,12,9,12,9,True,False,True,9,11,9
14,12,10,11,10,False,True,True,9,11,10
15,12,10,12,10,False,True,True,9,12,10
16,12,10,13,10,True,False,True,10,12,10
17,12,10,11,10,True,False,False,10,10,9
18,13,9,13,10,True,False,True,9,12,10
19,12,10,13,9,True,False,True,10,9,9
